X Location|Y Location|Diameter
-31.9999|-0.6000|0.299
-31.9999|-1.0000|0.299
-31.5999|-1.0000|0.299
-31.5999|-0.6000|0.299
-31.9999|0.6000|0.299
-31.9999|-0.2000|0.299
-31.5999|0.2000|0.299
-31.5999|-0.2000|0.299
-31.9999|1.0000|0.299
-31.5999|1.0000|0.299
-31.9999|0.2000|0.299
-31.5999|0.6000|0.299
-30.3999|-0.6000|0.299
-29.1999|-0.6000|0.299
-28.7999|-0.6000|0.299
-29.9999|-0.6000|0.299
-30.7999|-0.6000|0.299
-30.3999|-1.0000|0.299
-30.7999|-1.0000|0.299
-28.3999|-0.6000|0.299
-28.3999|-1.0000|0.299
-29.1999|-1.0000|0.299
-29.9999|-1.0000|0.299
-31.1999|-1.0000|0.299
-29.5999|-1.0000|0.299
-29.5999|-0.6000|0.299
-31.1999|-0.6000|0.299
-28.7999|-1.0000|0.299
-27.9999|-1.0000|0.299
-27.9999|-0.6000|0.299
-29.9999|-0.2000|0.299
-30.7999|0.6000|0.299
-31.1999|1.0000|0.299
-30.3999|0.6000|0.299
-30.7999|1.0000|0.299
-29.5999|0.2000|0.299
-31.1999|0.6000|0.299
-30.3999|-0.2000|0.299
-28.7999|-0.2000|0.299
-28.3999|1.0000|0.299
-28.3999|0.6000|0.299
-29.1999|1.0000|0.299
-28.3999|0.2000|0.299
-27.9999|-0.2000|0.299
-28.3999|-0.2000|0.299
-29.5999|-0.2000|0.299
-28.7999|0.2000|0.299
-30.3999|1.0000|0.299
-31.1999|0.2000|0.299
-31.1999|-0.2000|0.299
-30.7999|-0.2000|0.299
-30.3999|0.2000|0.299
-30.7999|0.2000|0.299
-29.1999|-0.2000|0.299
-29.9999|1.0000|0.299
-29.1999|0.2000|0.299
-27.9999|0.6000|0.299
-29.9999|0.2000|0.299
-29.1999|0.6000|0.299
-29.5999|0.6000|0.299
-29.5999|1.0000|0.299
-29.9999|0.6000|0.299
-27.9999|0.2000|0.299
-28.7999|0.6000|0.299
-28.7999|1.0000|0.299
-27.9999|1.0000|0.299
29.6000|-0.5999|0.299
30.0000|-0.5999|0.299
30.8000|-0.5999|0.299
29.6000|-0.9999|0.299
28.8000|-0.5999|0.299
31.2000|-0.5999|0.299
30.4000|-0.5999|0.299
28.4000|-0.5999|0.299
28.8000|-0.9999|0.299
29.2000|-0.5999|0.299
30.8000|-0.9999|0.299
28.4000|-0.9999|0.299
28.0000|-0.9999|0.299
32.0000|-0.5999|0.299
29.2000|-0.9999|0.299
31.6000|-0.5999|0.299
31.2000|-0.9999|0.299
30.4000|-0.9999|0.299
30.0000|-0.9999|0.299
31.6000|-0.9999|0.299
28.0000|-0.5999|0.299
32.0000|-0.9999|0.299
28.4000|1.0001|0.299
28.8000|0.6001|0.299
29.6000|0.6001|0.299
29.6000|1.0001|0.299
28.8000|1.0001|0.299
30.4000|0.2001|0.299
31.2000|0.2001|0.299
29.2000|1.0001|0.299
28.0000|0.6001|0.299
28.4000|-0.1999|0.299
29.6000|-0.1999|0.299
31.6000|-0.1999|0.299
32.0000|-0.1999|0.299
31.6000|0.2001|0.299
28.0000|1.0001|0.299
30.8000|1.0001|0.299
31.6000|0.6001|0.299
31.6000|1.0001|0.299
31.2000|-0.1999|0.299
28.8000|-0.1999|0.299
30.4000|-0.1999|0.299
28.0000|0.2001|0.299
28.0000|-0.1999|0.299
32.0000|1.0001|0.299
29.2000|0.2001|0.299
29.2000|-0.1999|0.299
29.6000|0.2001|0.299
28.4000|0.6001|0.299
28.8000|0.2001|0.299
30.0000|-0.1999|0.299
28.4000|0.2001|0.299
29.2000|0.6001|0.299
30.0000|0.6001|0.299
31.2000|0.6001|0.299
31.2000|1.0001|0.299
32.0000|0.2001|0.299
30.8000|0.2001|0.299
32.0000|0.6001|0.299
30.8000|-0.1999|0.299
30.0000|1.0001|0.299
30.0000|0.2001|0.299
30.8000|0.6001|0.299
30.4000|0.6001|0.299
30.4000|1.0001|0.299
-38.9569|1.9590|0.6096
-36.4169|3.4830|0.6096
-36.4169|1.9590|0.6096
-35.9269|6.8940|0.6096
-34.6569|6.8940|0.6096
-32.1166|6.8943|0.6096
-33.3869|6.8940|0.6096
-35.4369|3.4830|0.6096
-35.4369|1.9590|0.6096
-37.9769|1.9590|0.6096
-32.1166|5.9143|0.6096
-35.9269|5.9140|0.6096
-34.6569|5.9140|0.6096
-33.3869|5.9140|0.6096
-32.1166|9.4343|0.6096
-32.1166|8.4543|0.6096
-29.8309|-6.7860|0.6096
-28.5609|-6.7860|0.6096
-27.2909|-6.7860|0.6096
-24.7509|-4.2460|0.6096
-24.7509|-6.7860|0.6096
-26.0209|-6.7860|0.6096
-24.7509|-1.7060|0.6096
-24.7509|-5.8060|0.6096
-26.0209|-5.8060|0.6096
-28.5609|-5.8060|0.6096
-27.2909|-5.8060|0.6096
-29.8309|-5.8060|0.6096
-24.7509|-3.2660|0.6096
-24.7509|-0.7260|0.6096
-28.3066|6.8943|0.6096
-27.0369|6.8940|0.6096
-30.8469|6.8940|0.6096
-29.5769|6.8940|0.6096
-24.4969|6.8940|0.6096
-25.7669|6.8940|0.6096
-28.3066|5.9143|0.6096
-27.0369|5.9140|0.6096
-30.8469|5.9140|0.6096
-29.5769|5.9140|0.6096
-24.4969|5.9140|0.6096
-25.7669|5.9140|0.6096
-24.8159|3.7370|0.6096
-24.8159|1.4510|0.6096
-29.5769|9.4340|0.6096
-28.3069|9.4340|0.6096
-30.8466|9.4343|0.6096
-27.0369|9.4340|0.6096
-25.7669|9.4340|0.6096
-24.4969|9.4340|0.6096
-27.0369|8.4540|0.6096
-25.7669|8.4540|0.6096
-24.4969|8.4540|0.6096
-28.3069|8.4540|0.6096
-29.5769|8.4540|0.6096
-30.8466|8.4543|0.6096
-23.4809|-6.7860|0.6096
-22.2109|-4.2460|0.6096
-22.2109|-6.7860|0.6096
-23.4809|-4.2460|0.6096
-23.4809|-1.7060|0.6096
-22.2109|-1.7060|0.6096
-20.9409|-1.7060|0.6096
-20.9409|-4.2460|0.6096
-20.9409|-6.7860|0.6096
-18.4009|-1.7060|0.6096
-17.1309|-1.7060|0.6096
-19.6709|-4.2460|0.6096
-19.6709|-1.7060|0.6096
-18.4009|-4.2460|0.6096
-17.1309|-6.7860|0.6096
-19.6709|-6.7860|0.6096
-18.4009|-6.7860|0.6096
-17.1309|-4.2460|0.6096
-20.9409|-0.7260|0.6096
-20.9409|-3.2660|0.6096
-20.9409|-5.8060|0.6096
-18.4009|-0.7260|0.6096
